,Afghanistan
0,Albania
1,Algeria
2,Andorra
3,Angola
4,Antigua & Deps
5,Argentina
6,Armenia
7,Australia
8,Austria
9,Azerbaijan
10,Bahamas
11,Bahrain
12,Bangladesh
13,Barbados
14,Belarus
15,Belgium
16,Belize
17,Benin
18,Bhutan
19,Bolivia
20,Bosnia Herzegovina
21,Botswana
22,Brazil
23,Brunei
24,Bulgaria
25,Burkina
26,Burundi
27,Cambodia
28,Cameroon
29,Canada
30,Cape Verde
31,Central African Rep
32,Chad
33,Chile
34,China
35,Colombia
36,Comoros
37,Congo
38,Congo {Democratic Rep}
39,Costa Rica
40,Croatia
41,Cuba
42,Cyprus
43,Czech Republic
44,Denmark
45,Djibouti
46,Dominica
47,Dominican Republic
48,East Timor
49,Ecuador
50,Egypt
51,El Salvador
52,Equatorial Guinea
53,Eritrea
54,Estonia
55,Ethiopia
56,Fiji
57,Finland
58,France
59,Gabon
60,Gambia
61,Georgia
62,Germany
63,Ghana
64,Greece
65,Grenada
66,Guatemala
67,Guinea
68,Guinea-Bissau
69,Guyana
70,Haiti
71,Honduras
72,Hungary
73,Iceland
74,India
75,Indonesia
76,Iran
77,Iraq
78,Ireland {Republic}
79,Israel
80,Italy
81,Ivory Coast
82,Jamaica
83,Japan
84,Jordan
85,Kazakhstan
86,Kenya
87,Kiribati
88,Korea North
89,Korea South
90,Kosovo
91,Kuwait
92,Kyrgyzstan
93,Laos
94,Latvia
95,Lebanon
96,Lesotho
97,Liberia
98,Libya
99,Liechtenstein
100,Lithuania
101,Luxembourg
102,Macedonia
103,Madagascar
104,Malawi
105,Malaysia
106,Maldives
107,Mali
108,Malta
109,Marshall Islands
110,Mauritania
111,Mauritius
112,Mexico
113,Micronesia
114,Moldova
115,Monaco
116,Mongolia
117,Montenegro
118,Morocco
119,Mozambique
120,"Myanmar, {Burma}"
121,Namibia
122,Nauru
123,Nepal
124,Netherlands
125,New Zealand
126,Nicaragua
127,Niger
128,Nigeria
129,Norway
130,Oman
131,Pakistan
132,Palau
133,Panama
134,Papua New Guinea
135,Paraguay
136,Peru
137,Philippines
138,Poland
139,Portugal
140,Qatar
141,Romania
142,Russian Federation
143,Rwanda
144,St Kitts & Nevis
145,St Lucia
146,Saint Vincent & the Gr
147,Samoa
148,San Marino
149,Sao Tome & Principe
150,Saudi Arabia
151,Senegal
152,Serbia
153,Seychelles
154,Sierra Leone
155,Singapore
156,Slovakia
157,Slovenia
158,Solomon Islands
159,Somalia
160,South Africa
161,South Sudan
162,Spain
163,Sri Lanka
164,Sudan
165,Suriname
166,Swaziland
167,Sweden
168,Switzerland
169,Syria
170,Taiwan
171,Tajikistan
172,Tanzania
173,Thailand
174,Togo
175,Tonga
176,Trinidad & Tobago
177,Tunisia
178,Turkey
179,Turkmenistan
180,Tuvalu
181,Uganda
182,Ukraine
183,United Arab Emirates
184,United Kingdom
185,United States
186,Uruguay
187,Uzbekistan
188,Vanuatu
189,Vatican City
190,Venezuela
191,Vietnam
192,Yemen
193,Zambia
194,Zimbabwe
